,Experiment,Accuracy
0,FEDHEONN_incremental,"[90.92526690391459, 91.69632265717675]"
1,FEDH_incremental_bagging,"[93.53499406880191, 93.7129300118624]"
2,MLPC_incremental,"[96.61921708185054, 97.27164887307237]"
