task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
fit_group_1,2024-08-03T01:18:39,FEDHEONN_incremental,dff3ac6c-9c5a-4fdc-9cc9-1d1ef8690991,2.695019245147705,3.3852523487192055e-07,1.256154578639071e-07,2.907727272727273,5.240796064614953,5.967048168182373,3.213731639915043e-07,5.777782399992229e-07,6.578448285520722e-07,1.5569962325427994e-06,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
aggregate_partial_group_1,2024-08-03T01:18:41,FEDHEONN_incremental,dff3ac6c-9c5a-4fdc-9cc9-1d1ef8690991,2.332183837890625,2.3753454983943244e-08,1.0180667273067122e-08,3.1240000000000006,0.0,5.967048168182373,3.811138656404285e-08,0.0,7.11390801961897e-08,1.0925046676023245e-07,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
calc_optim_weights_group_1,2024-08-03T01:18:44,FEDHEONN_incremental,dff3ac6c-9c5a-4fdc-9cc9-1d1ef8690991,2.370030641555786,1.8906987356024813e-08,7.977527852392082e-09,2.9865454545454546,0.0,5.967048168182373,2.955888943238692e-08,0.0,5.740097367265661e-08,8.695986310504369e-08,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
fit_group_2,2024-08-03T01:18:46,FEDHEONN_incremental,dff3ac6c-9c5a-4fdc-9cc9-1d1ef8690991,2.693005323410034,3.4162824355407713e-07,1.2681056732834113e-07,3.432727272727273,4.739737316890005,5.967048168182373,3.821858261570786e-07,5.263893099989939e-07,6.62692921142991e-07,1.571268057299064e-06,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
aggregate_partial_group_2,2024-08-03T01:18:49,FEDHEONN_incremental,dff3ac6c-9c5a-4fdc-9cc9-1d1ef8690991,2.3657591342926025,2.8393671796662367e-08,1.2001938099684325e-08,2.596,0.0,5.967048168182373,4.059489091237389e-08,0.0,8.99975596982473e-08,1.3059245061062097e-07,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
calc_optim_weights_group_2,2024-08-03T01:18:51,FEDHEONN_incremental,dff3ac6c-9c5a-4fdc-9cc9-1d1ef8690991,2.327082395553589,1.735796364021441e-08,7.459113088107782e-09,3.1880000000000006,0.0,5.967048168182373,2.8377528190612826e-08,0.0,5.145783180154249e-08,7.983535999215521e-08,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
