task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
fit_group_1,2024-08-03T01:19:03,FEDH_incremental_bagging,c3024ccf-dc4e-48b4-8998-62dc55362209,7.938215732574463,4.846650354700313e-06,6.105433018487964e-07,2.7200909090909087,5.567729162692772,5.967048168182373,4.254227362485846e-06,8.706395853999571e-06,9.330820863231965e-06,2.2291444079717383e-05,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
aggregate_partial_group_1,2024-08-03T01:19:06,FEDH_incremental_bagging,c3024ccf-dc4e-48b4-8998-62dc55362209,3.1251325607299805,6.844474356515928e-07,2.1901385554594602e-07,2.629272727272727,5.125177386732463,5.967048168182373,6.038017051027279e-07,1.1755564959994164e-06,1.3686555033601162e-06,3.148013704462259e-06,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
calc_optim_weights_group_1,2024-08-03T01:19:09,FEDH_incremental_bagging,c3024ccf-dc4e-48b4-8998-62dc55362209,2.9431095123291016,4.912863560518417e-07,1.669281508378643e-07,2.222909090909091,4.896925199345427,5.967048168182373,3.8432293564382185e-07,8.452784540004948e-07,1.0299967929307737e-06,2.2595981825750912e-06,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
fit_group_2,2024-08-03T01:19:17,FEDH_incremental_bagging,c3024ccf-dc4e-48b4-8998-62dc55362209,7.7523744106292725,4.4924472425417144e-06,5.794219510159957e-07,2.699636363636363,5.005864119835697,5.967048168182373,4.080367561109138e-06,7.564728274000836e-06,9.017243958203096e-06,2.066233979331307e-05,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
aggregate_partial_group_2,2024-08-03T01:19:20,FEDH_incremental_bagging,c3024ccf-dc4e-48b4-8998-62dc55362209,3.3956732749938965,8.879240081969642e-07,2.615672642537404e-07,2.7750909090909093,4.634915550701006,5.967048168182373,8.478179254676362e-07,1.4147233539998916e-06,1.82133251525869e-06,4.083873794726219e-06,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
calc_optim_weights_group_2,2024-08-03T01:19:23,FEDH_incremental_bagging,c3024ccf-dc4e-48b4-8998-62dc55362209,2.9115147590637207,5.069352865208504e-07,1.7411099621450117e-07,2.651181818181818,4.952040749408692,5.967048168182373,4.5612424146045295e-07,8.505562360001245e-07,1.0248926224136323e-06,2.3315730998742064e-06,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
