,Experiment,Accuracy
0,FEDHEONN_incremental_12_4,"[91.10320284697508, 91.51838671411625, 91.57769869513642]"
1,FEDH_incremental_bagging_12_4,"[93.00118623962041, 93.00118623962041, 93.8908659549229]"
2,MLPC_incremental_4,"[95.7888493475682, 96.97508896797153, 97.27164887307237]"
