System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
12:52:10:923, 472662975649153,    0.116,    4.000,  900,   4.593,   0.533,   0.148,   3.153,   0.366,   0.102, 56,  0,   0.801,   0.093,   0.026,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:033, 472663260067268,    0.226,    5.000, 3300,   4.477,   1.024,   0.285,   2.728,   0.665,   0.185, 56,  0,   0.893,   0.191,   0.053,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:143, 472663545467820,    0.336,    2.000,  900,   1.902,   1.234,   0.343,   0.841,   0.758,   0.211, 55,  0,   0.762,   0.275,   0.076,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:253, 472663830886730,    0.446,    3.000,  900,   2.060,   1.461,   0.406,   0.836,   0.850,   0.236, 55,  0,   0.803,   0.363,   0.101,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:363, 472664113625673,    0.555,    4.000, 1600,   3.273,   1.818,   0.505,   1.894,   1.057,   0.294, 56,  0,   0.805,   0.451,   0.125,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:471, 472664395460774,    0.664,    2.000,  900,   3.494,   2.198,   0.610,   2.318,   1.309,   0.364, 55,  0,   0.806,   0.539,   0.150,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:579, 472664673955228,    0.771,    3.000,  900,   2.019,   2.415,   0.671,   0.823,   1.397,   0.388, 55,  0,   0.798,   0.624,   0.173,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:688, 472664956823008,    0.880,    2.000,  900,   2.088,   2.642,   0.734,   0.770,   1.481,   0.411, 55,  0,   0.794,   0.711,   0.197,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:797, 472665240219808,    0.990,    6.000, 3600,   2.694,   2.937,   0.816,   1.269,   1.620,   0.450, 56,  0,   0.786,   0.797,   0.221,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:906, 472665521814127,    1.098,    9.000, 4300,  23.863,   5.529,   1.536,  22.644,   4.080,   1.133, 81,  0,   0.596,   0.862,   0.239,  70.000, 107.000, 130.000,   0.000,   0.000
12:52:11:906, 472665524490853,    1.099,   13.000, 4300,  28.547,   5.559,   1.544,  35.226,   4.116,   1.143, 81,  0,   0.768,   0.862,   0.240,  70.000, 107.000, 130.000,   0.000,   0.000

Total Elapsed Time (sec) = 1.099402
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 5.558960
Cumulative Processor Energy_0 (mWh) = 1.544156
Average Processor Power_0 (Watt) = 5.056351

Cumulative IA Energy_0 (Joules) = 4.116394
Cumulative IA Energy_0 (mWh) = 1.143443
Average IA Power_0 (Watt) = 3.744214

Cumulative DRAM Energy_0 (Joules) = 0.862427
Cumulative DRAM Energy_0 (mWh) = 0.239563
Average DRAM Power_0 (Watt) = 0.784451
