task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
fit_group_1,2024-08-22T12:51:21,MLPC_incremental_4,00a87a6e-69c4-482c-9374-c95ba4274b40,13.506745100021362,1.16484511585169e-05,8.624146285924323e-07,4.004363636363637,7.25730948383274,5.967048168182373,1.2453010654931118e-05,2.2567240275999864e-05,1.8555059564404815e-05,5.35753104953358e-05,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
fit_group_2,2024-08-22T12:51:42,MLPC_incremental_4,00a87a6e-69c4-482c-9374-c95ba4274b40,21.207757472991943,1.7393184206524154e-05,8.201332444585147e-07,3.4243636363636365,5.852417996091685,5.967048168182373,1.7971303340304984e-05,3.071224679200048e-05,3.1313801591642235e-05,7.99973517239477e-05,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
fit_group_3,2024-08-22T12:52:09,MLPC_incremental_4,00a87a6e-69c4-482c-9374-c95ba4274b40,27.392386436462402,2.2196635629478853e-05,8.103220226747373e-07,3.312181818181818,5.378384642005625,5.967048168182373,2.3070053242878477e-05,3.746002996799988e-05,4.156002556136571e-05,0.00010209010877224408,Spain,ESP,galicia,,,Windows-10-10.0.19045-SP0,3.10.7,2.5.0,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce GTX 1660 Ti,-8.1554,43.513,15.912128448486328,machine,N
